Title, Prime Score, Rotten Tomatoes Score, IMDb Score, OnionPlay Link, Genre List, My Score, IMDb Summary, Awards, Must Watch 
Rush Hour,4.8,7.8,7.0,https://onionplay.se/movies/rush-hour-1998/ ,Comedy Action Adventure,7,A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter` while trying to arrest a dangerous crime lord along the way.,Bogey Award + Golden Screen,True
A Bug's Life,4.8,7.2,7.2,https://onionplay.se/movies/a-bugs-life-1998/ ,Animation Action Comedy Fantasy,7.9,A misfit ant` looking for 'warriors' to save his colony from greedy grasshoppers` recruits a group of bugs that turn out to be an inept circus troupe.,Blockbuster Entertainment Award + Bogey Award + 2 Critics Choice Award + FFCC Award + Golden Screen + KCFCC Award,False
The Matrix,4.7,8.5,8.7,https://onionplay.se/movies/the-matrix-1999/ ,Sci-Fi Noir Action Classic Dystopian,8.6,When a beautiful stranger leads computer hacker Neo to a forbidding underworld` he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.,Saturn Award for Best Science Fiction Film + Bogey Award + Golden Slate + Golden Screen + Grammy + Key Art Award + MTV Movie Award + Empire Award + 4 Golden Trailers + 2 ACCAs + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
10 Things I Hate About You,4.8,6.9,7.3,https://onionplay.se/movies/10-things-i-hate-about-you-1999/ ,Rom-Com Teen Drama,7.8,A high-school boy` Cameron` cannot date Bianca until her anti-social older sister` Kat` has a boyfriend. So` Cameron pays a mysterious boy` Patrick` to charm Kat.,None,True
The Mummy,4.8,7.5,7.1,https://onionplay.se/movies/the-mummy-1999/ ,Suspense Fantasy Adventure Action,6,At an archaeological dig in the ancient city of Hamunaptra` an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.,Bogey Award + Golden Screen,False
Notting Hill,4.8,7.9,7.2,https://onionplay.se/movies/notting-hill-1999/ ,Rom-Com Drama,7.9,A set of circumstances makes Anna Scott` a famous actress` fall in love with William Thacker` owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond.,Bogey Award + Brit Award + BAFTA Audience Award + British Comedy Award + Peter Sellers Award for Comedy + Golden Screen + Huabiao Film Award,True
Star Wars: Episode I - The Phantom Menace,4.6,5.9,6.5,https://onionplay.se/movies/star-wars-episode-i-the-phantom-menace-1999/ ,Action Adventure Sci-Fi Fantasy,8.4,Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force` but the long-dormant Sith resurface to claim their former glory.,Bogey Award + 2 Golden Screens + MTV Movie Award,False
Eyes Wide Shut,4.2,7.4,7.5,https://onionplay.se/movies/eyes-wide-shut-1999/ ,Thriller Erotic Classic Suspense,8.7,A Manhattan doctor embarks on a bizarre` night-long odyssey after his wife's admission of unfulfilled longing.,Golden Slate + OFCS Award + Inducted into: OFTA Film Hall of Fame,False
The Sixth Sense,4.8,9.0,8.2,https://onionplay.se/movies/the-sixth-sense-1999/ ,Horror Sci-Fi Psychological Action Suspense,8.1,After being shot by a resentful former patient whom he failed to help` a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.,Saturn Award for Best Horror Film + Bogey Award + Golden Screen + Award of the Japanese Academy + 2 People's Choice + Teen Choice Award + Chainsaw Award + Inducted into: OFTA Film Hall of Fame,True
Toy Story 2,4.8,8.7,7.9,https://onionplay.se/movies/toy-story-2-1999/ ,Animation Action Comedy Fantasy,8.5,When Woody is stolen by a toy collector` Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie` Prospector` and Bullseye.,Annie Award + Blockbuster Entertainment Award + Bogey Award + Critics Choice Award + Golden Globe + 2 Golden Satellite Awards + KCFCC Award + OFCS Award + Young Artist Award + Movieguide Award + Inducted into: OFTA Film Hall of Fame,False
