Title (String title of movie if a comma is used it is replaced with `), Prime Score (Float out of 5), Rotten Tomatoes Score (Float out of 10), IMDb Score (Float out of 10), OnionPlay Link (String link to onionplay or No Link), Genre List (String list of genres), My Score (Float out of 10), IMDb Summary (String description of movie if a comma is used it is replaced with `), Awards (String list separated by '+'), Must Watch (Bool value) 
Moana,4.8,8.9,7.6,https://onionplay.se/movies/moana-2016/ ,Animation Adventure Comedy Family Fantasy,,An adventurous teenager sails out on a daring mission to save her people with the help of a demigod.,Academy Award Nominations,
Split,4.7,7.9,7.3,https://onionplay.se/movies/split-2016/ ,Horror Thriller,,Three girls are kidnapped by a man with multiple personalities who prepares for the arrival of a terrifying new entity.,None,
La La Land,4.5,8.1,8.0,https://onionplay.se/movies/la-la-land-2016/ ,Comedy Drama Music Musical Romance,,A jazz musician and an aspiring actress fall in love while pursuing their dreams in Los Angeles.,Academy Award for Best Director + 5 More Oscars,
Your Name,4.8,9.6,8.4,https://onionplay.se/movies/your-name-2016/ ,Animation Drama Fantasy Romance,,Two teenagers share a profound` magical connection upon discovering they are swapping bodies.,Japan Academy Prize for Animation + Global Awards,
Finding Dory,4.7,8.4,7.2,https://onionplay.se/movies/finding-dory-2016/ ,Animation Adventure Comedy Family,,Amnesiac blue tang Dory sets out to find her long-lost parents with help from her friends.,None,
Captain America: Civil War,4.7,8.9,7.8,https://onionplay.se/movies/captain-america-civil-war-2016/ ,Action Adventure Sci-Fi,,The Avengers are divided into opposing factions over government oversight of their actions.,None,
Zootopia,4.8,9.2,8.0,https://onionplay.se/movies/zootopia-2016/ ,Animation Adventure Comedy Crime Family,,In a city of anthropomorphic animals` a bunny cop and a cynical con artist fox must work together.,Academy Award for Best Animated Feature,
Star Wars: Episode VII - The Force Awakens,4.6,8.5,7.8,https://onionplay.se/movies/star-wars-the-force-awakens-2015/ ,Action Adventure Fantasy Sci-Fi,,Thirty years after the defeat of the Empire` a new threat arises and Rey must join the Resistance.,None,
The Hunger Games: Mockingjay - Part 2,4.7,6.6,6.5,https://onionplay.se/movies/the-hunger-games-mockingjay-part-2-2015/ ,Action Adventure Sci-Fi Thriller,,Katniss Everdeen leads the rebels in a final showdown against the Capitol.,None,
The Martian,4.8,9.1,8.0,https://onionplay.se/movies/the-martian-2015/ ,Adventure Drama Sci-Fi,,An astronaut becomes stranded on Mars and must rely on ingenuity to survive while awaiting rescue.,Golden Globe for Best Actor + Academy Award Nominations,
Ant-Man,4.5,8.5,7.2,https://onionplay.se/movies/ant-man-2015/ ,Action Adventure Comedy Sci-Fi,,A thief is armed with a suit that allows him to shrink and must embrace his inner hero to pull off a heist.,None,
Inside Out,4.7,8.9,8.1,https://onionplay.se/movies/inside-out-2015/ ,Animation Adventure Comedy Drama Family,,A young girl’s emotions struggle to guide her through a difficult life change.,Academy Award for Best Animated Feature,
Avengers: Age of Ultron,4.7,8.2,7.3,https://onionplay.se/movies/avengers-age-of-ultron-2015/ ,Action Adventure Sci-Fi,,The Avengers face a new threat in the form of the artificial intelligence Ultron.,None,
The Hobbit: The Battle of the Five Armies,4.8,7.4,7.4,https://onionplay.se/movies/the-hobbit-the-battle-of-the-five-armies-2014/ ,Action Adventure Fantasy,,Bilbo and company engage in a war to prevent the Lonely Mountain from falling into the hands of a rising darkness.,None,
Pad dington,4.8,8.0,7.3,https://onionplay.se/movies/paddington-2014/ ,Adventure Comedy Family Fantasy,,A young Peruvian bear travels to London in search of a home and finds a loving family.,None,
The Hunger Games: Mockingjay - Part 1,4.8,7.1,6.6,https://onionplay.se/movies/the-hunger-games-mockingjay-part-1-2014/ ,Action Adventure Sci-Fi Thriller,,Katniss becomes the symbol of a mass rebellion against the autocratic Capitol.,None,
Interstellar,4.5,8.6,8.7,https://onionplay.se/movies/interstellar-2014/ ,Adventure Drama Sci-Fi,,A team of explorers travel through a wormhole in space in an attempt to ensure humanity’s survival.,Academy Award for Best Visual Effects + Multiple Nominations,
Big Hero 6,4.8,9.1,7.8,https://onionplay.se/movies/big-hero-6-2014/ ,Animation Action Adventure Comedy Family,,A special bond develops between a robotics prodigy and an inflatable healthcare companion.,Academy Award for Best Animated Feature,
John Wick,4.8,8.1,7.4,https://onionplay.se/movies/john-wick-2014/ ,Action Crime Thriller,,An ex-hitman comes out of retirement to track down the gangsters that killed his dog.,None,
The Judge,4.7,4.9,7.4,https://onionplay.ch/movie/59402-watch-the-judge-2014-online/ ,Drama,,A big-city lawyer returns to his hometown where his estranged father` the town’s judge` is suspected of murder.,None,
Guardians of the Galaxy,4.8,9.2,8.0,https://onionplay.ch/movie/10232-watch-guardians-of-the-galaxy-2014-online/ ,Action Adventure Comedy Sci-Fi,,A group of intergalactic criminals must pull together to stop a fanatical warrior.,None,
Maleficent,6.9,5.4,6.9,https://onionplay.ch/movie/176-watch-maleficent-2014-online/ ,Action Adventure Family Fantasy Romance,,A vengeful fairy is driven to curse an infant princess` only to discover the child may be the one person who can restore peace.,None,
Edge of Tomorrow,4.8,9.1,7.9,https://onionplay.ch/movie/121-watch-edge-of-tomorrow-2014-online/ ,Action Adventure Sci-Fi,,A soldier relives the same day over and over` using his experiences to improve his skills and fight an alien invasion.,None,
How to Train Your Dragon 2,4.8,9.2,7.8,https://onionplay.ch/movie/7910-watch-how-to-train-your-dragon-2-2014-online/ ,Animation Action Adventure Family Fantasy,,Hiccup and Toothless discover a secret ice cave that is home to hundreds of new wild dragons.,Academy Award Nomination for Best Animated Feature,
X-Men: Days of Future Past,4.6,9.0,7.9,https://onionplay.ch/movie/7733-watch-x-men-days-of-future-past-2014-online/ ,Action Adventure Sci-Fi,,Wolverine is sent back in time to prevent a future in which mutants are hunted to extinction.,None,
The Amazing Spider-Man 2,4.7,5.0,6.6,https://onionplay.ch/movie/10210-watch-the-amazing-spider-man-2-2014-online/ ,Action Adventure Sci-Fi,,Spider-Man faces off against the powerful Electro while struggling with his relationship with Gwen Stacy.,None,
Captain America: The Winter Soldier,4.8,9.0,7.7,https://onionplay.ch/movie/4427-watch-captain-america-the-winter-soldier-2014-online/ ,Action Adventure Sci-Fi,,Steve Rogers teams up with Black Widow to expose a conspiracy and confront a mysterious assassin.,None,
The Grand Budapest Hotel,8.1,9.2,8.1,https://onionplay.ch/movie/4193-watch-the-grand-budapest-hotel-2014-online/ ,Adventure Comedy Crime Drama,,A legendary concierge and his protégé become involved in the theft of a priceless painting.,Academy Award for Best Costume Design + 3 More Oscars,
The Lego Movie,7.7,9.6,7.7,https://onionplay.ch/movie/11909-watch-the-lego-movie-2014-online/ ,Animation Action Adventure Comedy Family,,An ordinary LEGO figure is mistaken for the prophesied Special and recruited to stop an evil tyrant.,BAFTA Award for Best Animated Film,
Whiplash,4.7,9.4,8.5,https://onionplay.ch/movie/12864-watch-whiplash-2014-online/ ,Drama Music,8.9,A promising young drummer enrolls at a cut-throat music conservatory where his dreams are mentored by an abusive instructor.,Saturn Award for Best Independent Film + AFI Award + Academy Award for Best Supporting Actor + 2 More Oscars,True
